0,YCoord,NAME,197902_CHN,197903_HCC,197904_MCC,197907_SWH,197907_WSP,197912_SST
26,34.38655462,0,0.015424,0.434865,0.155932,5.565843,5.565843,291.480189
27,30.68907563,0,0.014621,0.261315,0.064484,5.838945,5.838945,293.058275
28,30.31932773,0,0.014961,0.333827,0.121601,6.038503,6.038503,293.405173
29,11.46218487,0,0.014334,0.148879,0.066862,7.532768,7.532768,300.760719
30,20.33613445,0,0.014901,0.058733,0.101396,6.798385,6.798385,298.844256
31,29.21008403,0,0.014591,0.194026,0.088058,6.357333,6.357333,294.301494
32,30.31932773,0,0.015277,0.284930,0.033234,6.469018,6.469018,292.920418
33,26.62184874,0,0.015055,0.192508,0.115907,5.929557,5.929557,295.950764
34,6.28571429,0,0.015113,0.784585,0.102910,3.934816,3.934816,301.812442
35,15.15966387,0,0.014906,0.166110,0.100383,5.869711,5.869711,300.573734
36,0.00000000,0,0.013283,0.960576,0.081788,2.431700,2.431700,303.293777
37,15.15966387,0,0.015626,0.207165,0.149610,6.946315,6.946315,300.472472
38,24.03361345,0,0.014744,0.099863,0.146070,5.208660,5.208660,297.553414
39,32.90756303,0,0.015804,0.352577,0.254503,6.562581,6.562581,293.694923
40,8.87394958,0,0.016121,0.259009,0.096310,5.588812,5.588812,301.660047
41,17.74789916,0,0.014399,0.073375,0.086139,5.652451,5.652451,300.126577
