0,YCoord,ID,197902_CHN,197903_HCC,197904_MCC,197907_SWH,197907_WSP,197912_SST,POINT_X,POINT_Y
224,-87.00000000,0,0.018000,0.312608,0.302034,5.653716,5.653716,,-93.000000,-87.000000
225,-87.00000000,0,0.018000,0.316254,0.310489,5.639808,5.639808,,-91.000000,-87.000000
226,-87.00000000,0,0.018000,0.319959,0.318603,5.635593,5.635593,,-89.000000,-87.000000
227,-87.00000000,0,0.018000,0.325331,0.329649,5.641704,5.641704,,-87.000000,-87.000000
228,-87.00000000,0,0.018000,0.328902,0.337016,5.645919,5.645919,,-85.000000,-87.000000
229,-87.00000000,0,0.018000,0.334884,0.348115,5.687643,5.687643,,-83.000000,-87.000000
230,-87.00000000,0,0.018000,0.338336,0.352188,5.754654,5.754654,,-81.000000,-87.000000
231,-87.00000000,0,0.018000,0.340449,0.352892,5.813236,5.813236,,-79.000000,-87.000000
232,-87.00000000,0,0.018000,0.342562,0.353596,5.872240,5.872240,,-77.000000,-87.000000
233,-87.00000000,0,0.018000,0.344854,0.352689,5.973389,5.973389,,-75.000000,-87.000000
234,-87.00000000,0,0.018000,0.345672,0.350482,6.052411,6.052411,,-73.000000,-87.000000
235,-87.00000000,0,0.018000,0.345687,0.347263,6.171893,6.171893,,-71.000000,-87.000000
236,-87.00000000,0,0.018000,0.343321,0.344320,6.295590,6.295590,,-69.000000,-87.000000
237,-87.00000000,0,0.018000,0.341253,0.342070,6.377774,6.377774,,-67.000000,-87.000000
238,-87.00000000,0,0.018000,0.336670,0.337923,6.500838,6.500838,,-65.000000,-87.000000
239,-87.00000000,0,0.018000,0.332086,0.333775,6.624113,6.624113,,-63.000000,-87.000000
240,-87.00000000,0,0.018000,0.326075,0.329084,6.744228,6.744228,,-61.000000,-87.000000
241,-87.00000000,0,0.018000,0.319736,0.326034,6.823250,6.823250,,-59.000000,-87.000000
242,-87.00000000,0,0.018000,0.306671,0.321535,6.941047,6.941047,,-57.000000,-87.000000
243,-87.00000000,0,0.018000,0.297980,0.318528,7.019437,7.019437,,-55.000000,-87.000000
244,-87.00000000,0,0.018000,0.285927,0.313741,7.137234,7.137234,,-53.000000,-87.000000
245,-87.00000000,0,0.018000,0.278323,0.308229,7.241544,7.241544,,-51.000000,-87.000000
246,-87.00000000,0,0.018000,0.275273,0.304454,7.298651,7.298651,,-49.000000,-87.000000
247,-87.00000000,0,0.018000,0.270705,0.298793,7.384416,7.384416,,-47.000000,-87.000000
248,-87.00000000,0,0.018000,0.266151,0.293131,7.469972,7.469972,,-45.000000,-87.000000
249,-87.00000000,0,0.018000,0.261910,0.286862,7.517174,7.517174,,-43.000000,-87.000000
250,-87.00000000,0,0.018000,0.254574,0.274387,7.573649,7.573649,,-41.000000,-87.000000
251,-87.00000000,0,0.018000,0.247238,0.261913,7.630124,7.630124,,-39.000000,-87.000000
252,-87.00000000,0,0.018000,0.242357,0.253597,7.667844,7.667844,,-37.000000,-87.000000
253,-87.00000000,0,0.018000,0.234828,0.242753,7.737384,7.737384,,-35.000000,-87.000000
254,-87.00000000,0,0.018000,0.226926,0.235151,7.833054,7.833054,,-33.000000,-87.000000
255,-87.00000000,0,0.018000,0.221644,0.230087,7.896904,7.896904,,-31.000000,-87.000000
256,-87.00000000,0,0.018000,0.213742,0.222485,7.992574,7.992574,,-29.000000,-87.000000
257,-87.00000000,0,0.018000,0.207165,0.215160,8.099624,8.099624,,-27.000000,-87.000000
258,-87.00000000,0,0.018000,0.204189,0.209935,8.178225,8.178225,,-25.000000,-87.000000
259,-87.00000000,0,0.018000,0.199740,0.202088,8.296232,8.296232,,-23.000000,-87.000000
260,-87.00000000,0,0.018000,0.195276,0.194230,8.413818,8.413818,,-21.000000,-87.000000
261,-87.00000000,0,0.018000,0.192196,0.189283,8.477668,8.477668,,-19.000000,-87.000000
262,-87.00000000,0,0.018000,0.187597,0.184229,8.524449,8.524449,,-17.000000,-87.000000
